"shutdown_id";"words_str";"tags_str"
217;новосельдинская,7,пос.,новосельдинский.;O,Street,O,O
218;ул,шолмова,9;Street,Street,Street
219;подъезде,отключение;O,O
220;п.,новосельдинский,7,п.,новосельдинский,-100;O,Street,Street,O,Street,Number
221;п.,новосельдинский,6,п.,новосельдинский,7,п.,новосельдинский;O,Street,Street,O,Street,Street,O,Street
222;лесная,15,островского,11-23,орлова,21,21а,23,27,27а,корюкина16,18,гагарина,20,лесная,12,15.;Street,Number,Street,Range,Street,Number,Number,Number,Number,Number,Number,Number,Street,Number,Street,Number,Number
223;оренбургская,32,оренбургская,32,34,36,42;Street,Number,Street,Number,Number,Number,Number
224;ул.,тихая,1,ул.садовая,тихая,станционная,гусева.,40,частн.домов.;Street,Street,Street,O,Street,Street,O,Number,O
225;аверьянова,10,аверьянова,8,(,№156);Street,Number,Street,Street,Street,Number
226;ул.,победы,23,пг,ул.,победы,чкалова,1,2,пер.,советский.;Street,Street,Number,Street,Street,Street,Street,Street,Street,Street,O
227;пожарного,гидранта,московское,шоссе,1ж,(корп.,1,2,3);O,O,Street,O,Street,O,Street,Street,O
228;подготовка,к,санации,дворцовая,2б(,религиоз.,сооружен.);O,Street,O,Street,O,O,O
229;лесная,быль,5-эт.,жилое,здание.;Street,O,O,O,O
230;ефремова,93,пр.олимпийский,6,7,8а,10,ефремова,58,ефремова,79,81;Street,Number,O,Street,Street,Street,Number,Street,Number,Street,Number,Number
231;ср.венец,15,ср.венец,19,17,17а,(котельная);O,Number,O,Number,Number,Number,O
232;р.,люксембург,3,р.,люксембург,1-5,бакинская,22-28,27-35.;Street,Street,Street,Street,Street,Range,Street,Range,Range
233;теплообменника.отключение;O
234;пр.,караганова,/,полбина,пр.,караганова,2,4,полбина,25;O,Street,Street,Street,O,Street,Street,Street,Street,Number
235;карсунская,1,карсунская,1,железнодорожная,45.,18-00,карсунская,1;Street,Street,Street,Street,Street,Number,Range,Street,Street
236;самарская,5,самарская,5.;Street,Street,Street,Street
237;тихая,26-28,санация,15,ул.,тихая,26,26а,30,31,33-5;Street,Range,O,Number,Street,Street,Number,Number,Number,Number,Range
238;ефремова,143,ефремова,149(5,эт.);Street,Number,Street,Number,O
239;уи,к-ца;Street,O
240;кадьяна,13,кадьяна,9,11,13,11а,(котельн.);Street,Number,Street,Street,Number,Number,Number,O
241;бебеля,45,ул.,бебеля,(от,гончарова,матросова).,знгельса,(отгончарова,матросова,),ленина,(от,гончарова,ж,дивизии);Street,Number,Street,Street,O,Street,O,O,O,Street,Street,Street,O,Street,Street,O
242;кирова,2,6,(3,корпуса),туб.,дисп,кирова,1-49,минаева,20-44;Street,Street,Street,O,O,O,Street,Street,Range,Street,Range
243;р.,люксембург,58,р.,люксембург,58,(,№128);Street,Street,Number,Street,Street,Number,Street,Number
244;б-р,пластова,13,б-р,пластова,13;Street,Street,Number,Street,Street,Number
245;р.,люксембург,5,р.,люксембург,1,1а,5,5а,7,9,11,13,15,бакинская,34-40(четн.);Street,Street,Street,Street,Street,Street,Street,Street,Street,Street,Street,Number,Number,Number,Street,Even
246;р.,люксембург,5,р.,люксембург,1,1а,5,5а,7,9,11,13,15,бакинская,34-40(четн.);Street,Street,Street,Street,Street,Street,Street,Street,Street,Street,Street,Number,Number,Number,Street,Even
247;п.,пригородный,ул.,новая,14,ул.,новая,1-24,молодежная,13-42;O,Street,Street,Street,Number,Street,Street,Range,Street,Range
248;вольная,1,вольная,1(котельн.),2а(д/сад,№43),6,(школа,№10),1,2,3,пер.,бабушкина-50;Street,Street,Street,O,O,Number,Street,O,Number,Street,Street,Street,Street,Number
249;новосибирская,14,новосибирская,дальняя,луговая,приречная-50;Street,Number,Street,Street,Street,Number
250;энгельса,12,энгельса,1-12(четн,нечетн.);Street,Number,Street,Even,Odd
251;г.ульяновск,пос.,лениснкий,ул.,зеленая,д.14е,14ж,14и;O,O,O,Street,Street,Number,Number,Number
252;д200,минаева,2-6,8(,№ральн.,собор,по,ул.ульяновской,свияжской,доп,закрыли,:12,сентября,81-91,куйбышева,3,4,8-14,железнодорожная,1-3;Number,Street,Range,O,O,Street,Street,O,O,Street,O,Number,Street,Range,Street,Street,Street,Range,Street,Range
254;с.,баратаевка,ул.,герасимова,18а,ул.,герасимова,луговая.;O,Street,Street,Street,Number,Street,Street,O
255;с.,кротовка,ул.,родниковая,15,новая,кротовка;O,Street,Street,Street,Number,Street,Street
256;клубная,10,ул.,клубная,8,8а,10,12,ул.,хрустальная,14,16,18;Street,Number,Street,Street,Street,Street,Number,Number,Street,Street,Number,Number,Number
257;отрадная,5,санация,/сетей,отрадная,5(10,эт.);Street,Street,O,O,Street,Number,O
258;доватора,1,пер.,рузаевский,-20,ч/домов;Street,Street,Street,Street,Number,O
259;маяковского,13,задвиж,маяковского,13,3,пер.,баумана,4(4,эт.);Street,Number,O,Street,Number,Street,Street,Street,O,O
260;баратаевка:,мира,92,баратаевка;O,Street,Number,Street
261;ул.,шолмова,5,шолмова,5;Street,Street,Street,Street,Street
262;куйбышева,4,куйбышева,2(сизо),4(лицей),8,10,12(3,эт.);Street,Street,Street,O,O,Street,Number,Number,O
263;старая,кротовка;O,Street
264;ефремова,51,57,63,69,73,52(гибдд),50,58,(вм,клиник),промышленная,6,(пч);Street,Number,Number,Number,Number,Number,Number,Number,Number,O,O,Street,Street,O
265;техн.,откл,–,:,с.,баратаевка,ул.,мира,92;O,O,O,O,O,Street,Street,Street,Number
267;техн.,откл,–;O,O,O
268;техн.,откл,–;O,O,O
269;техн.,откл,–,ул.,ленина,96;O,O,O,Street,Street,Number
270;техн.,откл,–,ул.,орджоникидзе,35;O,O,O,Street,Street,Number
271;техн.,откл,–,ул.,орджоникидзе,35;O,O,O,Street,Street,Number
